thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image1.stopped,image2.stopped,key_resp.started,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,j,0.8918783999979496,None,,,,,6,0,6,0,45.9696985995397,,,,,,,,,,,,,,,,,,,,,45.960471799597144,45.9696985995397,48.0886356998235,48.0886356998235,47.17210590001196,50.386405100114644,j,0.8918783999979496,None,10,image2,-2,image2,image1,"['low', 'high', 'high', 'high', 'high']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
7,0,7,None,,,,,,,7,0,7,0,50.43990059942007,,,,,,,,,,,,,,,,,,,,,50.42998639959842,50.43990059942007,52.25562089961022,52.25562089961022,51.021819399669766,53.25704829953611,None,,,,,,,,,,,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
8,0,8,j,0.31962549965828657,None,,,,,8,0,8,0,53.3696379000321,,,,,,,,,,,,,,,,,,,,,53.35875609982759,53.3696379000321,55.20522930007428,55.20522930007428,54.85538319963962,57.185985799878836,j,0.31962549965828657,None,10,image2,4,image1,image2,[],0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
9,0,9,j,0.4371373998001218,None,,,,,9,0,9,0,57.237261599861085,,,,,,,,,,,,,,,,,,,,,57.22824619989842,57.237261599861085,58.97199120000005,58.97199120000005,58.505727199837565,61.24715239927173,j,0.4371373998001218,None,0,image2,3,image1,image2,['low'],0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
10,0,10,j,0.4217930007725954,None,,,,,10,0,10,0,61.29808899946511,,,,,,,,,,,,,,,,,,,,,61.288336699828506,61.29808899946511,63.53879429958761,63.53879429958761,63.08889380004257,65.89065069984645,j,0.4217930007725954,None,10,image1,2,image1,image2,"['low', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
11,0,11,None,,,,,,,11,0,11,0,65.94248989969492,,,,,,,,,,,,,,,,,,,,,65.93253740016371,65.94248989969492,67.75558179989457,67.75558179989457,66.5218257997185,68.75647709984332,None,,,,,,,,,,,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
12,0,12,j,0.4263054998591542,None,,,,,12,0,12,0,68.86819449998438,,,,,,,,,,,,,,,,,,,,,68.8586291000247,68.86819449998438,,70.03927179984748,69.58879010006785,71.72024509962648,j,0.4263054998591542,None,0,image1,1,image1,image2,"['low', 'high', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
13,0,13,None,,,,,,,13,0,13,0,71.77229479979724,,,,,,,,,,,,,,,,,,,,,71.76226889993995,71.77229479979724,74.35536189936101,74.35536189936101,73.10572819970548,75.35738359950483,None,,,,,,,,,,,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
14,0,14,f,1.1383253997191787,None,,,,,14,0,14,0,75.41547759994864,,,,,,,,,,,,,,,,,,,,,75.40455960016698,75.41547759994864,77.75544520001858,77.75544520001858,76.58848849963397,80.28313959948719,f,1.1383253997191787,None,0,image2,0,image1,image2,"['low', 'high', 'high', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
15,0,15,j,0.4846246000379324,None,,,,,15,0,15,0,80.33382909931242,,,,,,,,,,,,,,,,,,,,,80.32514620013535,80.33382909931242,82.65527450013906,82.65527450013906,82.13875569961965,84.80797529965639,j,0.4846246000379324,None,0,image1,-1,image1,image2,"['low', 'high', 'high', 'low', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
16,0,16,f,0.7376412004232407,None,,,,,16,0,16,0,84.85885299928486,,,,,,,,,,,,,,,,,,,,,84.84996159933507,84.85885299928486,87.15551029983908,87.15551029983908,86.38896969985217,88.75778419990093,f,0.7376412004232407,None,10,image2,-2,image1,image2,"['low', 'high', 'high', 'low', 'high', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
17,0,17,j,0.5865818997845054,None,,,,,17,0,17,0,88.86414869967848,,,,,,,,,,,,,,,,,,,,,88.85532099939883,88.86414869967848,90.17288539931178,90.17288539931178,89.55545219965279,92.61721180006862,j,0.5865818997845054,None,0,image1,-3,image1,image2,"['high', 'high', 'low', 'high', 'low', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
18,0,18,f,0.6406402001157403,None,,,,,18,0,18,0,92.66928339935839,,,,,,,,,,,,,,,,,,,,,92.65911419969052,92.66928339935839,94.2886584000662,94.2886584000662,93.62220910005271,96.5038874996826,f,0.6406402001157403,None,0,image2,-4,image1,image2,"['high', 'low', 'high', 'low', 'high', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
19,0,19,f,0.4741987995803356,None,,,,,19,0,19,0,96.55468789953738,,,,,,,,,,,,,,,,,,,,,96.54476359952241,96.55468789953738,98.1219712998718,98.1219712998718,97.62179099954665,99.62196499947459,f,0.4741987995803356,None,10,image1,-5,image1,image2,"['low', 'high', 'low', 'high', 'low', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
20,0,20,f,0.5268136998638511,None,,,,,20,0,20,0,99.675063399598,,,,,,,,,,,,,,,,,,,,,99.66424020007253,99.675063399598,102.22195510007441,102.22195510007441,101.671960699372,104.40375360008329,f,0.5268136998638511,None,10,image1,-6,image1,image2,"['high', 'low', 'high', 'low', 'high', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
21,0,21,f,0.389614500105381,None,,,,,21,0,21,0,104.51196629926562,,,,,,,,,,,,,,,,,,,,,104.5026722997427,104.51196629926562,106.90532219968736,106.90532219968736,106.48880159948021,109.00692449975759,f,0.389614500105381,None,0,image1,-7,image1,image2,"['low', 'high', 'low', 'high', 'high', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
22,0,22,f,0.4523243000730872,None,,,,,22,0,22,0,109.05720569938421,,,,,,,,,,,,,,,,,,,,,109.0483868997544,109.05720569938421,,110.2389778001234,109.75568549986929,113.10325319971889,f,0.4523243000730872,None,0,image2,-8,image1,image2,"['high', 'low', 'high', 'high', 'high', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
23,0,23,f,1.0091700004413724,None,,,,,23,0,23,0,113.15517609938979,,,,,,,,,,,,,,,,,,,,,113.14562669955194,113.15517609938979,115.83868829999119,115.83868829999119,114.80547989998013,117.68997079972178,f,1.0091700004413724,None,0,image2,-9,image1,image2,"['low', 'high', 'high', 'high', 'low', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
24,0,24,j,0.9318580003455281,None,,,,,24,0,24,0,117.74161269981414,,,,,,,,,,,,,,,,,,,,,117.73226489964873,117.74161269981414,120.30526079982519,120.30526079982519,119.35525689925998,123.25971999950707,j,0.9318580003455281,None,0,image2,-10,image1,image2,"['high', 'high', 'high', 'low', 'low', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
25,0,25,f,0.5664258003234863,None,,,,,25,0,25,0,123.36956959962845,,,,,,,,,,,,,,,,,,,,,123.36001919955015,123.36956959962845,125.8553416999057,125.8553416999057,125.27201319951564,127.94110549986362,f,0.5664258003234863,None,0,image2,-11,image1,image2,"['high', 'high', 'low', 'low', 'low', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
26,0,26,j,0.38105969969183207,None,,,,,26,0,26,0,127.99233129993081,,,,,,,,,,,,,,,,,,,,,127.9828936997801,127.99233129993081,,129.10583180002868,128.70600049942732,131.75112059991807,j,0.38105969969183207,None,10,image1,-12,image1,image2,"['high', 'low', 'low', 'low', 'low', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
27,0,27,f,0.6259011002257466,None,,,,,27,0,27,0,131.80162189994007,,,,,,,,,,,,,,,,,,,,,131.7929687993601,131.80162189994007,134.0559131000191,134.0559131000191,133.40538019966334,136.52627259958535,f,0.6259011002257466,None,0,image1,-13,image1,image2,"['low', 'low', 'low', 'low', 'high', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
28,0,28,j,0.44258780032396317,None,,,,,28,0,28,0,136.5789281995967,,,,,,,,,,,,,,,,,,,,,136.56831839960068,136.5789281995967,137.82250609993935,137.82250609993935,137.3560842992738,140.59461109992117,j,0.44258780032396317,None,0,image1,-14,image1,image2,"['low', 'low', 'low', 'high', 'high', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
29,0,29,f,1.0501241004094481,None,,,,,29,0,29,0,140.64584029931575,,,,,,,,,,,,,,,,,,,,,140.63682120013982,140.64584029931575,143.25597069971263,143.25597069971263,142.1889859000221,145.33466270007193,f,1.0501241004094481,None,10,image1,-15,image1,image2,"['low', 'low', 'high', 'high', 'high', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
30,0,30,f,0.4766829004511237,None,,,,,30,0,30,0,145.45156839955598,,,,,,,,,,,,,,,,,,,,,145.44263209961355,145.45156839955598,,146.5886707995087,146.0902452999726,149.14592909999192,f,0.4766829004511237,None,10,image1,5,image2,image1,[],0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
31,0,31,j,0.6565486006438732,None,,,,,31,0,31,0,149.19674600008875,,,,,,,,,,,,,,,,,,,,,149.18743499927223,149.19674600008875,150.9221457997337,150.9221457997337,150.23889399971813,152.91897869948298,j,0.6565486006438732,None,0,image1,4,image2,image1,['low'],0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
32,0,32,f,0.5347872991114855,None,,,,,32,0,32,0,152.9697984000668,,,,,,,,,,,,,,,,,,,,,152.9607840999961,152.9697984000668,154.87221179995686,154.87221179995686,154.32230099942535,156.52369609940797,f,0.5347872991114855,None,10,image1,3,image2,image1,"['low', 'low']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
33,0,33,f,0.5583103001117706,None,,,,,33,0,33,0,156.57475759927183,,,,,,,,,,,,,,,,,,,,,156.5660264994949,156.57475759927183,158.10522449947894,158.10522449947894,157.52203829959035,161.05868289992213,f,0.5583103001117706,None,0,image1,2,image2,image1,"['low', 'low', 'low']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
34,0,34,j,0.34462600015103817,None,,,,,34,0,34,0,161.16908250004053,,,,,,,,,,,,,,,,,,,,,161.15998770017177,161.16908250004053,163.40545159950852,163.40545159950852,163.03898319974542,166.35168129950762,j,0.34462600015103817,None,10,image1,1,image2,image1,"['low', 'low', 'low', 'low']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
35,0,35,f,0.4895909996703267,None,,,,,35,0,35,0,166.40220599994063,,,,,,,,,,,,,,,,,,,,,166.39341189991683,166.40220599994063,167.72187299933285,167.72187299933285,167.20536619983613,169.39598449971527,f,0.4895909996703267,None,10,image1,0,image2,image1,"['low', 'low', 'low', 'low', 'low']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
36,0,36,j,0.5817467998713255,None,,,,,36,0,36,0,169.44634620007128,,,,,,,,,,,,,,,,,,,,,169.43750400003046,169.44634620007128,170.70538670010865,170.70538670010865,170.10551000013947,173.41039559990168,j,0.5817467998713255,None,0,image1,-1,image2,image1,"['low', 'low', 'low', 'low', 'low', 'low']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
37,0,37,f,0.4156914995983243,None,,,,,37,0,37,0,173.4620173992589,,,,,,,,,,,,,,,,,,,,,173.4521514000371,173.4620173992589,175.67215059977025,175.67215059977025,175.2389444001019,177.29676029924303,f,0.4156914995983243,None,0,image1,-2,image2,image1,"['low', 'low', 'low', 'low', 'low', 'low']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
38,0,38,f,0.938625699840486,None,,,,,38,0,38,0,177.34754149988294,,,,,,,,,,,,,,,,,,,,,177.33810729999095,177.34754149988294,179.92198350001127,179.92198350001127,178.95554939936846,181.77769420016557,f,0.938625699840486,None,10,image2,-3,image2,image1,"['low', 'low', 'low', 'low', 'low', 'high']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
39,0,39,f,0.5650459993630648,None,,,,,39,0,39,0,181.88645069953054,,,,,,,,,,,,,,,,,,,,,181.87675409950316,181.88645069953054,183.30623919982463,183.30623919982463,182.72266459930688,184.98103170003742,f,0.5650459993630648,None,10,image2,-4,image2,image1,"['low', 'low', 'low', 'low', 'high', 'high']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
40,0,40,f,0.714507500641048,None,,,,,40,0,40,0,185.03135009948164,,,,,,,,,,,,,,,,,,,,,185.02261509932578,185.03135009948164,187.73941770009696,187.73941770009696,187.00628049951047,189.31395789980888,f,0.714507500641048,None,10,image2,-5,image2,image1,"['low', 'low', 'low', 'high', 'high', 'high']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
41,0,41,f,0.9054787997156382,None,,,,,41,0,41,0,189.36543359979987,,,,,,,,,,,,,,,,,,,,,189.3566747996956,189.36543359979987,190.90540899988264,190.90540899988264,189.9729295000434,192.7684247996658,f,0.9054787997156382,None,10,image2,-6,image2,image1,"['low', 'low', 'high', 'high', 'high', 'high']",0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
42,0,42,f,0.6524171000346541,None,,,,,42,0,42,0,192.81977189984173,,,,,,,,,,,,,,,,,,,,,192.81026519928128,192.81977189984173,194.2223119996488,194.2223119996488,193.53867230005562,195.7915413994342,f,0.6524171000346541,None,10,image2,4,image1,image2,[],0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
43,0,43,f,1.048203899525106,None,,,,,43,0,43,0,195.90131479967386,,,,,,,,,,,,,,,,,,,,,195.89255109988153,195.90131479967386,198.72211920004338,198.72211920004338,197.65533680003136,201.17756420001388,f,1.048203899525106,None,0,image2,3,image1,image2,['low'],0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
44,0,44,f,0.5614145006984472,None,,,,,44,0,44,0,201.22876749932766,,,,,,,,,,,,,,,,,,,,,201.21997829992324,201.22876749932766,203.17266630008817,203.17266630008817,202.58993759937584,205.74922459945083,f,0.5614145006984472,None,10,image2,2,image1,image2,"['low', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
45,0,45,f,0.582762099802494,None,,,,,45,0,45,0,205.79995669983327,,,,,,,,,,,,,,,,,,,,,205.79112879931927,205.79995669983327,207.45538969989866,207.45538969989866,206.85594369936734,209.13035319931805,f,0.582762099802494,None,10,image2,1,image1,image2,"['low', 'low', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
46,0,46,j,0.6662969999015331,None,,,,,46,0,46,0,209.1822231998667,,,,,,,,,,,,,,,,,,,,,209.17330420017242,209.1822231998667,210.4572030995041,210.4572030995041,209.7724421992898,212.80069509986788,j,0.6662969999015331,None,0,image2,0,image1,image2,"['low', 'low', 'low', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
47,0,47,j,0.564779999665916,None,,,,,47,0,47,0,212.85323879960924,,,,,,,,,,,,,,,,,,,,,212.84435499925166,212.85323879960924,214.10535909980536,214.10535909980536,213.52221830002964,216.02496349997818,j,0.564779999665916,None,0,image1,-1,image1,image2,"['low', 'low', 'low', 'low', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
48,0,48,f,0.38754909951239824,None,,,,,48,0,48,0,216.1361956000328,,,,,,,,,,,,,,,,,,,,,216.12698419950902,216.1361956000328,217.9557216996327,217.9557216996327,217.5388941001147,220.34133259952068,f,0.38754909951239824,None,0,image2,-2,image1,image2,"['low', 'low', 'low', 'low', 'high', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
49,0,49,j,1.6033269995823503,None,,,,,49,0,49,0,220.39260729961097,,,,,,,,,,,,,,,,,,,,,220.38301779981703,220.39260729961097,222.97203850001097,222.97203850001097,221.33896659966558,225.31920239981264,j,1.6033269995823503,None,0,image2,-3,image1,image2,"['low', 'low', 'low', 'high', 'low', 'low']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
50,0,50,j,0.4420763999223709,None,,,,,50,0,50,0,225.37059949990362,,,,,,,,,,,,,,,,,,,,,225.36185690015554,225.37059949990362,227.03925739973783,227.03925739973783,226.5721971001476,229.59546250011772,j,0.4420763999223709,None,10,image1,-4,image1,image2,"['low', 'low', 'high', 'low', 'low', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
51,0,51,f,0.43579869996756315,None,,,,,51,0,51,0,229.64594419952482,,,,,,,,,,,,,,,,,,,,,229.63682859949768,229.64594419952482,232.02227609977126,232.02227609977126,231.55541549995542,234.15266609936953,f,0.43579869996756315,None,10,image1,-5,image1,image2,"['low', 'high', 'low', 'low', 'high', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
52,0,52,f,0.3520640004426241,None,,,,,52,0,52,0,234.26469729933888,,,,,,,,,,,,,,,,,,,,,234.25603059958667,234.26469729933888,236.0053303996101,236.0053303996101,235.6223954996094,237.85759379994124,f,0.3520640004426241,None,10,image1,-6,image1,image2,"['high', 'low', 'low', 'high', 'high', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
53,0,53,f,0.4055457999929786,None,,,,,53,0,53,0,237.90898809954524,,,,,,,,,,,,,,,,,,,,,237.89966169930995,237.90898809954524,240.35549199953675,240.35549199953675,239.92204319965094,242.41248490009457,f,0.4055457999929786,None,0,image1,-7,image1,image2,"['low', 'low', 'high', 'high', 'high', 'high']",0.7,0.3,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
54,0,54,None,,,,,,,54,0,54,0,242.46335889957845,,,,,,,,,,,,,,,,,,,,,242.45417199935764,242.46335889957845,245.40614319965243,245.40614319965243,244.15560559928417,246.40801399946213,None,,,,,,,,,,,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
55,0,55,f,0.2877970999106765,None,,,,,55,0,55,0,246.4610441001132,,,,,,,,,,,,,,,,,,,,,246.45231329929084,246.4610441001132,247.9562147995457,247.9562147995457,247.6389213996008,250.11092589981854,f,0.2877970999106765,None,10,image1,1,image2,image1,[],0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
56,0,56,j,1.0875209998339415,None,,,,,56,0,56,0,250.16232729982585,,,,,,,,,,,,,,,,,,,,,250.1531748995185,250.16232729982585,252.1554518993944,252.1554518993944,251.0389454998076,254.41614039987326,j,1.0875209998339415,None,10,image1,0,image2,image1,['low'],0.3,0.7,91,001,2025-03-04_11h22.48.110,实验程序1.0,2024.2.4,59.96807278286727,2025-03-04 11h22.59.335899 +0800,
