thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,time.started,math_problem.started,key_resp.started,textbox0.started,textbox9.started,textbox8.started,textbox7.started,textbox6.started,textbox5.started,textbox4.started,textbox3.started,textbox2.started,textbox1.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,problem,answer,end.started,end.stopped,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 48
9.0,0.0,9.0,down,3.483335500000976,,9.0,0.0,9.0,0.0,81.07013250002638,,,,,,,,92.6850283000269,92.77013250002638,92.77013250002638,92.77013250002638,92.77013250002638,92.77013250002638,92.77013250002638,92.77013250002638,92.77013250002638,92.77013250002638,92.77013250002638,92.77013250002638,92.77013250002638,92.77013250002638,96.27199080003193,down,3.483335500000976,,28 - 9 - 10 = ?,9.0,96.27231690001209,96.27252000004519,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
10.0,0.0,10.0,down,5.108069699956104,,10.0,0.0,10.0,0.0,84.65252550004516,,,,,,,,96.27967290002853,96.35252550004516,96.35252550004516,96.35252550004516,96.35252550004516,96.35252550004516,96.35252550004516,96.35252550004516,96.35252550004516,96.35252550004516,96.35252550004516,96.35252550004516,96.35252550004516,96.35252550004516,101.46986110000871,down,5.108069699956104,,24 - 19 = ?,5.0,101.47016340004048,101.47036760002375,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
11.0,0.0,11.0,down,2.530957800045144,,11.0,0.0,11.0,0.0,89.85691780003253,,,,,,,,101.47729000005639,101.55691780003254,101.55691780003254,101.55691780003254,101.55691780003254,101.55691780003254,101.55691780003254,101.55691780003254,101.55691780003254,101.55691780003254,101.55691780003254,101.55691780003254,101.55691780003254,101.55691780003254,104.10195860003589,down,2.530957800045144,,18 - 16 = ?,2.0,104.10226370003075,104.1024563000421,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
12.0,0.0,12.0,down,2.4118200999801047,,12.0,0.0,12.0,0.0,92.48823580000315,,,,,,,,104.10948160004337,104.18823580000316,104.18823580000316,104.18823580000316,104.18823580000316,104.18823580000316,104.18823580000316,104.18823580000316,104.18823580000316,104.18823580000316,104.18823580000316,104.18823580000316,104.18823580000316,104.18823580000316,106.61717360005714,down,2.4118200999801047,,3 - 1 + 6 = ?,8.0,106.6174751000246,106.61766610002378,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
13.0,0.0,13.0,down,3.3689255000208504,,13.0,0.0,13.0,0.0,94.99853090004764,,,,,,,,106.62493100004504,106.69853090004764,106.69853090004764,106.69853090004764,106.69853090004764,106.69853090004764,106.69853090004764,106.69853090004764,106.69853090004764,106.69853090004764,106.69853090004764,106.69853090004764,106.69853090004764,106.69853090004764,110.08405120000245,down,3.3689255000208504,,(7 + 3) - (8 - 6) = ?,8.0,110.0844619000447,110.08471900002333,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
14.0,0.0,14.0,down,4.595417800010182,,14.0,0.0,14.0,0.0,98.46664950001286,,,,,,,,110.09277940004833,110.16664950001287,110.16664950001287,110.16664950001287,110.16664950001287,110.16664950001287,110.16664950001287,110.16664950001287,110.16664950001287,110.16664950001287,110.16664950001287,110.16664950001287,110.16664950001287,110.16664950001287,116.79855340002105,down,4.595417800010182,,25 / 4 + 14 / 8 = ?,8.0,116.81128790001384,116.81204420001012,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
15.0,0.0,15.0,,,,15.0,0.0,15.0,0.0,105.20770230004564,,,,,,,,116.84158250001492,116.90770230004564,116.90770230004564,116.90770230004564,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,118.9108811000362,,,,23 / 2 - 20 / 8 - 8 = ?,1.0,118.9311140000238,118.93176210001113,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
16.0,0.0,16.0,left,2.8364961999468505,,16.0,0.0,16.0,0.0,107.3356400000048,,,,,,,,118.95617340003372,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,119.0356400000048,123.9795155000058,left,2.8364961999468505,,11 * 27 - 4 * 8 * 9 = ?,9.0,123.99143360001037,123.99248910001481,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
17.0,0.0,17.0,right,2.77877079998143,,17.0,0.0,17.0,0.0,112.40793290000876,,,,,,,,124.02548940001289,124.10793290000876,124.10793290000876,124.10793290000876,124.10793290000876,124.10793290000876,124.10793290000876,124.10793290000876,124.10793290000876,124.10793290000876,124.10793290000876,124.10793290000876,124.10793290000876,124.10793290000876,129.04227950003695,right,2.77877079998143,,8 * 2 - 13 * 20 / 26 = ?,6.0,129.06119220004183,129.06178340000332,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
18.0,0.0,18.0,right,3.6239715999690816,0.1665558000095188,18.0,0.0,18.0,0.0,117.4533703000052,,,,,,,,129.08011820003156,129.1533703000052,129.1533703000052,129.1533703000052,129.1533703000052,129.1533703000052,129.1533703000052,129.1533703000052,129.1533703000052,129.1533703000052,129.1533703000052,129.1533703000052,129.1533703000052,129.1533703000052,135.10627340000354,right,3.6239715999690816,0.1665558000095188,3 / 9 + 29 / 3 - 8 = ?,2.0,135.1212419000105,135.12206380004065,,16,1.0,2024-11-22_14h46.40.482,mist,2024.2.4,60.28316208462506,2024-11-22 14h46.46.319609 +0800,
